Province,Age,Gender,Education,Employment,Income_Group,Weight,Rel_Satisfaction,Online_Contact_Freq,SM_Interfere_Rel,SM_Interfere_Life,SM_Anxious_Envious,SM_AI_Chatbot,SM_AI_Email,Household_Type,Online_Shopping
Ontario,65 years and over,Female,Some post-secondary (incl. certificate),Not employed,"$42,257 – $72,366",1091.470036949,,,,,,,,Single-person household,
Quebec,35–44 years,Female,University degree,Employed,"$42,257 – $72,366",1264.083653281,Completely satisfied,Everyday,No,No,No,Yes,Yes,Family with children <18,Online shopper (≥ $1)
Manitoba,15–24 years,Male,High school or less,Not employed,"$42,257 – $72,366",3413.046802178,Completely satisfied,Everyday,No,No,No,No,No,Family with children <18,Did not shop online
British Columbia,65 years and over,Female,High school or less,Not employed,"$72,367 – $107,480",627.395485928,Completely satisfied,,No,No,No,No,No,Single-person household,Did not shop online
Quebec,55–64 years,Male,Some post-secondary (incl. certificate),Not employed,"$107,481 – $163,750",585.544542155,Completely satisfied,A few times a week,No,No,No,Yes,Yes,Family without children <18,Online shopper (≥ $1)
Saskatchewan,45–54 years,Male,High school or less,Employed,"$42,257 – $72,366",378.876698402,Neutral,,No,No,No,No,No,Family without children <18,Did not shop online
New Brunswick,65 years and over,Male,Some post-secondary (incl. certificate),Not employed,"$42,257 – $72,366",433.002600375,Completely satisfied,A few times a week,No,No,No,No,No,Family without children <18,Did not shop online
Quebec,25–34 years,Female,Some post-secondary (incl. certificate),Employed,"$42,257 – $72,366",4060.051301289,Neutral,Everyday,No,No,No,Yes,No,Single-person household,Did not shop online
Quebec,45–54 years,Male,Some post-secondary (incl. certificate),Employed,"≥ $163,751",762.357914043,Somewhat satisfied,Once a week,No,No,No,No,No,Family without children <18,Online shopper (≥ $1)
Alberta,65 years and over,Male,Some post-secondary (incl. certificate),Not employed,"≥ $163,751",915.245449975,Completely satisfied,Everyday,No,No,No,No,No,Family without children <18,Online shopper (≥ $1)
Ontario,35–44 years,Female,Some post-secondary (incl. certificate),Employed,"≥ $163,751",3179.5268632,Completely satisfied,A few times a week,No,No,Yes,Yes,No,Family with children <18,Online shopper (≥ $1)
New Brunswick,65 years and over,Female,High school or less,Not employed,"$42,257 – $72,366",286.408436337,Completely satisfied,A few times a week,No,No,No,No,No,Family without children <18,Did not shop online
Saskatchewan,35–44 years,Female,,,"≥ $163,751",629.548633105,Neutral,Everyday,No,No,No,,,Family with children <18,Online shopper (≥ $1)
Nova Scotia,65 years and over,Male,University degree,Not employed,"$107,481 – $163,750",387.408286543,Completely satisfied,Everyday,No,No,No,No,No,Family without children <18,Did not shop online
